last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Lugo, Seth,607625,94.5,94.0,,88.1,87.9,79.6,,
Walden, Marcus,519393,94.1,94.0,91.7,85.6,,,,
Eovaldi, Nathan,543135,97.5,,93.2,84.9,,80.5,87.9,
Hoffman, Jeff,656546,93.7,,,83.7,84.3,77.1,,
Pannone, Thomas,623381,89.7,,,84.4,83.4,73.7,,
Stammen, Craig,489334,91.8,92.8,,87.5,89.1,81.3,,
Stratton, Chris,608717,92.2,91.7,91.0,84.5,84.8,77.1,,
Workman, Brandon,519443,92.9,,87.0,,,80.6,,
Ottavino, Adam,493603,93.8,93.8,88.2,81.8,,,,
Estevez, Carlos,608032,97.8,97.4,,87.7,90.5,,,
Suero, Wander,593833,94.5,,92.9,,87.5,79.5,,
Ross, Joe,605452,94.2,94.1,,88.0,87.9,81.4,,
Lamet, Dinelson,659275,95.9,96.3,,86.2,92.2,85.5,,
Castro, Miguel,612434,,97.3,,86.1,90.6,,,
Newcomb, Sean,656794,94.4,,,81.4,87.4,78.9,,
Doolittle, Sean,448281,93.5,,,81.0,,,83.7,
Hernandez, Felix,433587,89.9,89.4,,83.8,84.7,79.3,,
Buttrey, Ty,621142,97.1,95.3,,83.8,87.6,,,
Gallegos, Giovanny,606149,93.7,,,85.4,87.1,,,
Castillo, Diego,650895,98.4,98.2,,88.7,,,,
Andriese, Matt,542882,92.5,92.3,,85.0,86.0,80.9,,
Devenski, Chris,606965,94.7,,,81.6,84.1,,,
Law, Derek,571882,94.0,,,84.8,85.8,76.8,,
Diekman, Jake,518617,95.8,95.5,,85.0,90.0,,,
Shaw, Bryan,543766,,,92.5,83.1,84.0,80.8,,
May, Trevor,543507,95.6,96.7,,83.9,87.6,78.9,,
Valdez, Framber,664285,94.2,92.6,,,88.6,79.4,,
Anderson, Nick,623433,96.1,,,,,83.2,,
Tomlin, Josh,458708,89.4,88.5,86.9,,84.6,76.5,,
Hader, Josh,623352,95.6,94.5,,81.8,86.8,,,
Petit, Yusmeiro,433589,89.1,,85.4,,81.5,76.4,,
Detwiler, Ross,446321,91.6,90.7,88.6,83.8,84.9,78.1,,
Farmer, Buck,571656,95.0,,,82.4,88.1,,,
Chen, Wei-Yin,612672,91.4,89.7,,85.8,84.0,74.1,,
Rodriguez, Richard,593144,93.2,92.7,,81.6,86.9,,,
Agrazal, Dario,642607,90.8,91.1,,83.0,85.6,,,
Gonzalez, Chi Chi,592346,92.4,91.5,86.9,82.0,86.5,,,
Biagini, Joe,607352,93.8,94.1,87.8,,87.1,77.0,,
Robles, Hansel,570663,97.2,96.7,,89.1,89.5,,,
Pagan, Emilio,641941,95.5,,87.5,,,80.3,,
Kahnle, Tommy,592454,96.5,,,83.4,90.0,,,
Melancon, Mark,453343,92.2,,91.8,,,82.1,83.4,
Armstrong, Shawn,542888,93.4,,89.9,83.0,,,,
Liriano, Francisco,434538,92.8,93.0,,87.0,87.0,,,
Neris, Hector,593576,94.4,94.8,,,,,86.9,
Baez, Pedro,520980,95.8,96.0,,86.4,86.2,,,
